SKU,Product Name,SEO Title,Meta Description,Search Tags
HP216,Pulsar Colored Glass Direct Inhalation Display,"Colored Glass Direct Inhalation | 100ct Display","100ct display of colored glass direct inhalation devices. Durable borosilicate glass for stylish, smooth sessions.","colored glass, direct inhalation, 100ct display, smooth hits, durable"
SA5647,Dogg Lbs Everyday Glass Direct Inhalation Display,"Everyday Glass Direct Inhalation | 100ct Display","100ct display of everyday glass direct inhalation devices. Durable borosilicate glass for reliable, smooth sessions.","everyday glass, direct inhalation, 100ct display, smooth hits, durable"
RTL-01-A-US-ST-BL,Standard Bic Lighter - Black,"Premium Butane Lighter | Reliable Ignition","Standard Bic lighter in black for reliable ignition. Durable and portable for everyday use.","butane lighter, reliable, portable, everyday use, ignition"
RTL-01-A-US-ST-CA,Standard Bic Lighter - Carolina,"Premium Butane Lighter | Reliable Ignition","Standard Bic lighter in Carolina blue for reliable ignition. Durable and portable for everyday use.","butane lighter, reliable, portable, everyday use, ignition"
RTL-01-A-US-ST-GR,Standard Bic Lighter - Grey,"Premium Butane Lighter | Reliable Ignition","Standard Bic lighter in grey for reliable ignition. Durable and portable for everyday use.","butane lighter, reliable, portable, everyday use, ignition"
RTL-01-A-US-ST-AR,Standard Bic Lighter - Army,"Premium Butane Lighter | Reliable Ignition","Standard Bic lighter in army green for reliable ignition. Durable and portable for everyday use.","butane lighter, reliable, portable, everyday use, ignition"
RTL-01-A-US-ST-LV,Standard Bic Lighter - Lavender,"Premium Butane Lighter | Reliable Ignition","Standard Bic lighter in lavender for reliable ignition. Durable and portable for everyday use.","butane lighter, reliable, portable, everyday use, ignition"
RTL-01-A-US-ST-MG,Standard Bic Lighter - Magenta,"Premium Butane Lighter | Reliable Ignition","Standard Bic lighter in magenta for reliable ignition. Durable and portable for everyday use.","butane lighter, reliable, portable, everyday use, ignition"
RTL-01-A-US-ST-YL,Standard Bic Lighter - Yellow,"Premium Butane Lighter | Reliable Ignition","Standard Bic lighter in yellow for reliable ignition. Durable and portable for everyday use.","butane lighter, reliable, portable, everyday use, ignition"
RTL-01-A-US-ST-OR,Standard Bic Lighter - Orange,"Premium Butane Lighter | Reliable Ignition","Standard Bic lighter in orange for reliable ignition. Durable and portable for everyday use.","butane lighter, reliable, portable, everyday use, ignition"
